"time","date","symbol","event","actual","deviation","consensus","previous","day_value","date_time"
"12:30",2022-10-14,"CAD","Manufacturing Sales (MoM)(Aug)",0.02,0.66,0.018,0.006,"14",2022-10-14 23:30:00
"12:30",2022-10-14,"CAD","Wholesale Sales (MoM)(Aug)",0.014,1.34,0.008,0.006,"14",2022-10-14 23:30:00
"14:00",2022-10-15,"USD","Business Inventories(Aug)",0.008,0.75,0.009,0.006,"14",2022-10-15 01:00:00
"14:00",2022-10-15,"USD","Michigan Consumer Sentiment Index(Oct) Prel",59.8,0.5,59,58.6,"14",2022-10-15 01:00:00
"14:00",2022-10-15,"USD","UoM 5-year Consumer Inflation Expectation(Oct) Prel",0.029,NA,NA,0.027,"14",2022-10-15 01:00:00
"17:00",2022-10-15,"USD","Baker Hughes US Oil Rig Count",610,NA,NA,602,"14",2022-10-15 04:00:00
"19:30",2022-10-15,"USD","CFTC Gold NC Net Positions",94400,NA,NA,88400,"14",2022-10-15 06:30:00
"19:30",2022-10-15,"USD","CFTC Oil NC Net Positions",259200,NA,NA,242000,"14",2022-10-15 06:30:00
"19:30",2022-10-15,"USD","CFTC S&P 500 NC Net Positions",164100,NA,NA,209300,"14",2022-10-15 06:30:00
"19:30",2022-10-15,"GBP","CFTC GBP NC Net Positions",39200,NA,NA,49500,"14",2022-10-15 06:30:00
"19:30",2022-10-15,"JPY","CFTC JPY NC Net Positions",77400,NA,NA,81600,"14",2022-10-15 06:30:00
"19:30",2022-10-15,"EUR","CFTC EUR NC Net Positions",37500,NA,NA,43700,"14",2022-10-15 06:30:00
"19:30",2022-10-15,"AUD","CFTC AUD NC Net Positions",31300,NA,NA,27800,"14",2022-10-15 06:30:00
"21:30",2022-10-17,"NZD","Business NZ PSI(Sep)",55.8,NA,NA,58.6,"16",2022-10-17 08:30:00
"23:01",2022-10-17,"GBP","Rightmove House Price Index (MoM)(Oct)",0.009,NA,NA,0.007,"16",2022-10-17 10:01:00
"23:01",2022-10-17,"GBP","Rightmove House Price Index (YoY)(Oct)",0.078,NA,NA,0.087,"16",2022-10-17 10:01:00
